Tweet,Sentiment
"@sketchesbylaura That’s awesome! I’m just getting one from IKEA too, which one did you get? I’m debating between two :P",positive
I just starred IKEA Place lets you “see” it in your home before you buy it on Inoreader. https://t.co/K4MrvkflR2,neutral
@DustinGiebel @AeroSoaring Wal-Mart and IKEA stock stores across the country.  Logistics and supply chain companies… https://t.co/a7TPW2FbPx,neutral
GARBAGE HUMAN BEINGS MEN ARE GARBAGE https://t.co/BQgpj4HZsf,neutral
RT @beatmybrain: hey could u maybe text me back im trying to have sex with u at ikea,neutral
RT @VanityFair: IKEA is moving into the realm of tech with its acquisition of TaskRabbit https://t.co/8TQdA44Mnk,neutral
RT @elexugh: came to ikea w friends and ran into other friend https://t.co/lGQ1SqVv0s,neutral
Ikea’s New AR App Lets You See What Furniture Looks Like In Your Place https://t.co/yfFmurs1oR #Entertainment #CEO… https://t.co/5RFypUju9I,neutral
I was headed to epoch and somehow I ended up at ikea. Brujería.,negative
@louisesamet From the land of IKEA and Volvo let a clean simple DIY banking startup arise...☺️,neutral
RT @mashable: Ikea is now selling a bicycle because why not https://t.co/UcBCjJxsGZ,neutral
Ikea’s new app is like an IRL version of the Sims for redecorating your healthy home https://t.co/a067NHln5q https://t.co/HZZVRZe34o,neutral
RT @ShaunKing: This should be a citywide scandal right now. https://t.co/aD7Rs7FrUl,neutral
🇬🇧 Ikea has filled every home I’ve rented. Now I want something more stable. https://t.co/guU5N35L9H,neutral
History of IKEA https://t.co/EpnU91XG6J #history #IKEA https://t.co/VGpABN68nW,neutral
"RT @BAKKOOONN: ""congressional republicans intentionally refused to reauthorize program that provides affordable healthcare to millions of c…",negative
I liked a @YouTube video https://t.co/tH6xDtNyq2 MY IKEA NIGHTMARE (vlog: Sunday Stories Vol. 15),neutral
"I'm a college guy tired of Ikea furniture, so I visited my local flea market and tapped into my inner super hero… https://t.co/gVFUFn3qRF",negative
came to ikea w friends and ran into other friend https://t.co/lGQ1SqVv0s,neutral
Assembling #IKEA furniture to get much easier thanks to acquisition of @TaskRabbit https://t.co/TqeN4KMcrY #startup,neutral
RT @AshDubh: wanna know what’s more exciting than sitting in an empty house on a sunday,negative
GOING TO IKEA TO BUY THINGS RO FILL SAID EMPTY HOUS…,negative
IKEA needs TaskRabbit to help manually challenged millennials https://t.co/ayiXqBFIhp https://t.co/wryehUTKZQ,neutral
RT @FLOTUK: White boys from those ikea countries are so buff 😭😭😭,neutral
RT @berniethoughts: WE DESERVE TO KNOW WHAT THE NAMES OF OUR IKEA FURNITURE MEAN—AS EACH ONE MAY BE PIECE TO AN ANCIENT AND DANGEROUS PUZZLE,positive
IKEA Matching Set large punch bowl cups trays bright blue white plastic https://t.co/2uuzj8Ah9E https://t.co/N43Yxk9Pxv,neutral
Please RT! #decoration #interiordesign Urban Gardening with IKEA https://t.co/VRjYOUJNd0 https://t.co/QM6LLrygY6,neutral
